,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
0,2001/9/3,37.2,37.57,36.85,36.99,2211209,71500000,0.030926,-0.02,0.0,-0.02,0.33833333299999996,0.09833333300000001,77.48091603,36.85,37.57,19.44444444,19.44444444,19.44444444,19.44444444,,,,,0,,
1,2001/9/4,37.01,38.08,36.88,37.46,3700677,71500000,0.05175772,0.47,0.47,0.0,0.41666666700000005,0.09833333300000001,80.90614887,36.85,38.08,49.59349593,37.53387534,30.29810298,52.00542005,,,,,0,0.012706136793728007,0.0
2,2001/9/5,37.61,37.92,37.21,37.44,2606695,71500000,0.036457273,-0.02,0.0,-0.02,0.198333333,0.10166666699999999,66.11111111,36.85,38.08,47.96747967,42.47610897,36.06663213,55.29506265,,,,,0,-0.0005339028296851289,-0.0
3,2001/9/6,37.35,37.47,36.51,36.7,2899703,71500000,0.040555287,-0.74,0.0,-0.74,0.198333333,0.145,57.76699029,36.51,38.08,12.10191083,29.85913436,33.48813306,22.60113696,,,,,0,-0.019764957264957084,-0.0
4,2001/9/7,36.5,36.95,35.65,35.68,3155225,71500000,0.044129021,-1.02,0.0,-1.02,0.078333333,0.315,19.91525424,35.65,38.08,1.234567901,18.87055671,27.8766464,0.858377332,,36.854,,,0,-0.027792915531335227,-0.0
5,2001/9/10,35.4,36.85,35.01,36.7,1887889,71500000,0.026404042000000003,1.02,1.02,0.0,0.24833333300000002,0.3,45.288753799999995,35.01,38.08,55.04885993,32.09059834,29.41648147,37.43883208,,36.79600000000001,,,0,0.028587443946188396,0.0
6,2001/9/11,36.8,36.95,36.2,36.29,1139081,71500000,0.015931203,-0.41,0.0,-0.41,0.24833333300000002,0.365,40.48913043,35.01,38.08,41.69381107,35.49066735,31.56707958,43.33784288,,36.562,,,0,-0.011171662125340709,-0.0
7,2001/9/12,35.33,36.2,35.3,35.98,2504519,71500000,0.035028237999999996,-0.31,0.0,-0.31,0.17,0.41666666700000005,28.97727273,35.01,38.08,31.59609121,34.1397652,32.45946078,37.50037405,,36.269999999999996,,,0,-0.008542298153761396,-0.0
8,2001/9/13,36.01,36.3,35.7,35.89,1098668,71500000,0.015365986000000002,-0.09,0.0,-0.09,0.17,0.428333333,28.41225627,35.01,38.08,28.66449511,32.26593248,32.39322849,32.01134046,,36.108000000000004,,,0,-0.002501389660922615,-0.0
9,2001/9/14,36.01,36.5,35.8,36.3,767283,71500000,0.010731231,0.41,0.41,0.0,0.238333333,0.305,43.86503067,35.01,38.08,42.01954397,35.57451215,33.47237035,39.77879574,,36.232000000000006,,,0,0.011423794928949516,0.0
10,2001/9/17,36.08,36.29,35.5,35.84,898397,71500000,0.012564993,-0.46,0.0,-0.46,0.238333333,0.211666667,52.96296296,35.01,37.92,28.52233677,33.19629238,33.379267999999996,32.83034113,,36.06,,,0,-0.012672176308539784,-0.0
11,2001/9/18,35.88,36.55,35.85,36.25,1077326,71500000,0.015067497,0.41,0.41,0.0,0.136666667,0.211666667,39.23444976,35.01,37.47,50.40650407,38.97758805,35.25986913,46.41302591,,36.05200000000001,,,0,0.011439732142856984,0.0
12,2001/9/19,36.3,36.92,36.06,36.92,865053,71500000,0.012098643000000001,0.67,0.67,0.0,0.24833333300000002,0.143333333,63.40425532,35.01,36.95,98.45360825,58.90532142,43.18239432,90.35117561,,36.24,,,0,0.01848275862068971,0.0
13,2001/9/20,36.9,37.05,36.5,36.61,1117335,71500000,0.015627063,-0.31,0.0,-0.31,0.24833333300000002,0.143333333,63.40425532,35.01,37.05,78.43137255,65.43637718,50.625886200000004,95.05735914,,36.384,,,0,-0.008396533044420451,-0.0
14,2001/9/21,36.28,36.6,36.0,36.06,787972,71500000,0.011020587,-0.55,0.0,-0.55,0.24833333300000002,0.22,53.02491103,35.3,37.05,43.42857143,58.08365081,53.11749772,68.01595699,,36.336,,,0,-0.015023217700081859,-0.0
15,2001/9/24,36.06,36.39,36.0,36.05,406860,71500000,0.00569035,-0.01,0.0,-0.01,0.18,0.22166666699999998,44.81327801,35.3,37.05,42.85714286,53.00040924,53.07840872,52.84441027,,36.378,,,0,-0.0002773155851359954,-0.0
16,2001/9/25,36.28,36.54,36.05,36.23,348845,71500000,0.004878950999999999,0.18,0.18,0.0,0.21,0.145,59.15492958,35.5,37.05,47.09677419,51.03053154,52.39508945,48.30141573,,36.374,,,0,0.0049930651872398535,0.0
17,2001/9/26,36.11,36.48,36.0,36.08,495626,71500000,0.006931832,-0.15,0.0,-0.15,0.141666667,0.17,45.45454545,35.5,37.05,37.41935484,46.49040061,50.42552715,38.62014752,,36.205999999999996,,,0,-0.004140215291195126,-0.0
18,2001/9/27,36.08,36.98,36.0,36.7,877804,71500000,0.012276978999999999,0.62,0.62,0.0,0.133333333,0.17,43.95604396,35.5,37.05,77.41935484,56.80470473,52.55287931,65.30835556,,36.22399999999999,,,0,0.01718403547671854,0.0
19,2001/9/28,36.9,37.2,36.5,37.09,1708847,71500000,0.023899958,0.39,0.39,0.0,0.198333333,0.11833333300000001,62.63157895,35.85,37.2,91.85185185,68.49060139,57.86705146,89.73770124,,36.42999999999999,,,0,0.010626702997275306,0.0
20,2001/10/8,37.0,37.18,36.25,36.58,655217,71500000,0.009163874,-0.51,0.0,-0.51,0.198333333,0.111666667,63.97849462,36.0,37.2,48.33333333,61.77016468,59.16835009,66.97379386,,36.53599999999999,,,0,-0.013750337018064274,-0.0
21,2001/10/9,36.6,37.5,36.6,37.3,955852,71500000,0.013368558999999999,0.72,0.72,0.0,0.318333333,0.11,74.31906615,36.0,37.5,86.66666667,70.07010803,62.80275517,84.60481374,,36.74999999999999,,,0,0.01968288682340069,0.0
22,2001/10/10,37.3,37.43,36.03,36.1,1754869,71500000,0.024543622,-1.2,0.0,-1.2,0.288333333,0.31,48.18941504,36.0,37.5,6.666666667,48.93374422,58.17933955,30.44255356,,36.754,,,0,-0.03217158176943691,-0.0
23,2001/10/11,36.01,36.5,35.65,35.75,1230684,71500000,0.017212363999999997,-0.35,0.0,-0.35,0.288333333,0.34333333299999996,45.64643799,35.65,37.5,5.405405405,34.42343599,50.26023461,2.74983875,,36.564,,,0,-0.00969529085872578,-0.0
24,2001/10/12,35.9,36.65,34.05,36.0,2001070,71500000,0.027986992999999998,0.25,0.25,0.0,0.226666667,0.34333333299999996,39.76608187,34.05,37.5,56.52173913,41.78982876,47.43665418,30.49617794,,36.346,36.43960000000001,-0.09360000000001634,-1,0.006993006993007089,0.0
25,2001/10/15,35.9,36.0,34.9,35.3,975531,71500000,0.01364379,-0.7,0.0,-0.7,0.161666667,0.46,26.00536193,34.05,37.5,36.23188406,39.93713161,44.93674732,29.937900199999998,,36.089999999999996,36.37200000000001,-0.2820000000000107,-1,-0.019444444444444486,0.019444444444444486
26,2001/10/16,35.13,35.8,34.75,34.8,831991,71500000,0.011636238,-0.5,0.0,-0.5,0.161666667,0.45833333299999995,26.07526882,34.05,37.5,21.73913043,33.87102445,41.24810811,19.11685714,,35.589999999999996,36.265600000000006,-0.67560000000001,-1,-0.014164305949008527,0.014164305949008527
27,2001/10/17,34.79,34.81,33.9,34.2,1250768,71500000,0.017493259,-0.6,0.0,-0.6,0.041666667000000004,0.558333333,6.944444444,33.9,37.5,8.333333332999999,25.35836086,35.95146354,4.172155494,,35.209999999999994,36.136,-0.926000000000009,-1,-0.01724137931034464,0.01724137931034464
28,2001/10/18,34.2,34.66,33.91,34.04,498346,71500000,0.006969874,-0.16,0.0,-0.16,0.041666667000000004,0.385,9.765625,33.9,37.5,3.888888889,18.20181422,30.03486748,-5.46429231,,34.867999999999995,36.0296,-1.161600000000007,-1,-0.004678362573099504,0.004678362573099504
29,2001/10/19,34.0,34.15,33.01,33.5,1568754,71500000,0.021940615,-0.54,0.0,-0.54,0.041666667000000004,0.41666666700000005,9.090909091,33.01,37.5,10.91314031,15.77224358,25.28063472,-3.244538705,,34.367999999999995,35.9424,-1.5744000000000042,-1,-0.015863689776733247,0.015863689776733247
30,2001/10/22,33.3,33.7,32.7,32.79,976065,71500000,0.013651258999999999,-0.71,0.0,-0.71,0.0,0.535,0.0,32.7,37.43,1.9027484140000002,11.14906245,20.57009425,-7.693001155,,33.866,35.786,-1.9200000000000017,-1,-0.021194029850746254,0.021194029850746254
31,2001/10/23,36.0,36.07,35.01,36.07,4059824,71500000,0.056780755,3.28,3.28,0.0,0.546666667,0.418333333,56.64939551,32.7,36.65,85.3164557,35.87158417,25.67060271,56.27354708,,34.11999999999999,35.7772,-1.6572000000000102,-1,0.10003049710277523,-0.10003049710277523
32,2001/10/24,36.78,36.8,35.11,35.86,4068239,71500000,0.056898448,-0.21,0.0,-0.21,0.546666667,0.37,59.63636364,32.7,36.8,77.07317073,49.60546758,33.64890333,81.51859607,,34.452,35.772400000000005,-1.3204000000000065,-1,-0.005822012752980332,0.005822012752980332
33,2001/10/25,35.7,35.8,34.86,34.88,1603686,71500000,0.022429175,-0.98,0.0,-0.98,0.546666667,0.433333333,55.78231293,32.7,36.8,53.17073171,50.79389018,39.36390483,73.65386087,,34.62,35.732,-1.1120000000000019,-1,-0.02732849972113771,0.02732849972113771
34,2001/10/26,34.7,35.1,34.42,35.0,900220,71500000,0.01259049,0.12,0.12,0.0,0.566666667,0.40666666700000004,58.21917808,32.7,36.8,56.09756098,52.56178166,43.76320013,70.15894472,,34.92,35.68000000000001,-0.7600000000000051,-1,0.0034403669724769603,-0.0034403669724769603
35,2001/10/29,34.88,35.63,34.88,35.3,458786,71500000,0.006416587,0.3,0.3,0.0,0.6166666670000001,0.316666667,66.07142857,32.7,36.8,63.41463415,56.17940081,47.90193558,72.73433126,,35.422,35.6584,-0.23640000000000327,-1,0.008571428571428452,-0.008571428571428452
36,2001/10/30,35.25,35.49,34.92,35.0,348417,71500000,0.004872965,-0.3,0.0,-0.3,0.6166666670000001,0.24833333300000002,71.29094412,32.7,36.8,56.09756098,56.15212086,50.65199818,67.15236621,,35.208,35.6084,-0.40040000000000475,-1,-0.008498583569405027,0.008498583569405027
37,2001/10/31,35.0,35.09,34.8,35.05,476247,71500000,0.0066607969999999996,0.05,0.05,0.0,0.078333333,0.24833333300000002,23.97959184,32.7,36.8,57.31707317,56.54043837,52.61481198,64.39169117,,35.04599999999999,35.5336,-0.4876000000000076,-1,0.0014285714285713347,-0.0014285714285713347
38,2001/11/1,35.05,35.64,34.95,35.57,664303,71500000,0.009290951,0.52,0.52,0.0,0.165,0.213333333,43.6123348,32.7,36.8,70.0,61.02695952,55.41886154,72.24315549,,35.18399999999999,35.492000000000004,-0.30800000000001404,-1,0.014835948644793318,-0.014835948644793318
39,2001/11/2,35.28,35.72,35.16,35.36,343520,71500000,0.004804475999999999,-0.21,0.0,-0.21,0.165,0.085,66.0,34.42,36.8,39.49579832,53.84990514,54.89587603,51.75796337,,35.25599999999999,35.464000000000006,-0.20800000000001262,-1,-0.005903851560303597,0.005903851560303597
40,2001/11/5,35.0,35.26,34.7,34.9,369076,71500000,0.005161902,-0.46,0.0,-0.46,0.145,0.161666667,47.282608700000004,34.42,36.8,20.16806723,42.62262516,50.80479216,26.25829116,,35.176,35.418000000000006,-0.24200000000000443,-1,-0.013009049773755721,0.013009049773755721
41,2001/11/6,34.8,35.3,34.72,35.15,260931,71500000,0.003649385,0.25,0.25,0.0,0.136666667,0.161666667,45.81005587,34.42,35.8,52.89855072,46.04793382,49.21917265,39.70545616,,35.206,35.37480000000001,-0.1688000000000045,-1,0.007163323782235054,-0.007163323782235054
42,2001/11/7,35.0,35.0,33.8,33.85,932538,71500000,0.01304249,-1.3,0.0,-1.3,0.136666667,0.328333333,29.390681,33.8,35.72,2.604166667,31.56667771,43.33500751,8.030018116,,34.965999999999994,35.2856,-0.3196000000000083,-1,-0.03698435277382639,0.03698435277382639
43,2001/11/8,33.35,33.89,32.98,33.7,740216,71500000,0.010352670999999999,-0.15,0.0,-0.15,0.128333333,0.35333333299999997,26.64359862,32.98,35.72,26.27737226,29.80357586,38.82453022,11.76166716,,34.592,35.165600000000005,-0.5736000000000061,-1,-0.004431314623338234,0.004431314623338234
44,2001/11/9,33.7,34.48,33.34,34.15,376076,71500000,0.005259804,0.45,0.45,0.0,0.11666666699999999,0.35333333299999997,24.82269504,32.98,35.72,42.70072993,34.10262727,37.25056255,27.80675671,,34.35,35.048,-0.6980000000000004,-1,0.013353115727002818,-0.013353115727002818
45,2001/11/12,34.4,34.4,33.52,33.6,268333,71500000,0.003752909,-0.55,0.0,-0.55,0.11666666699999999,0.41,22.15189873,32.98,35.72,22.62773723,30.27766389,34.92626298,20.98046572,,34.089999999999996,34.9288,-0.8388000000000062,-1,-0.016105417276720324,0.016105417276720324
46,2001/11/13,33.28,33.7,33.21,33.64,267381,71500000,0.003739594,0.04,0.04,0.0,0.123333333,0.333333333,27.00729927,32.98,35.72,24.08759124,28.21430633,32.68894408,19.26503082,,33.788,34.7824,-0.994400000000006,-1,0.0011904761904761862,-0.0011904761904761862
47,2001/11/14,33.64,34.0,33.64,33.65,76900,71500000,0.001075524,0.01,0.01,0.0,0.083333333,0.333333333,20.0,32.98,35.72,24.45255474,26.96038913,30.77942576,19.32231587,,33.748,34.684400000000004,-0.9364000000000061,-1,0.0002972651605230858,-0.0002972651605230858
48,2001/11/15,33.65,33.8,33.5,33.68,219345,71500000,0.003067762,0.03,0.03,0.0,0.08833333300000001,0.11666666699999999,43.08943089,32.98,35.3,30.17241379,28.03106402,29.86330518,24.36658171,,33.74399999999999,34.6016,-0.857600000000005,-1,0.0008915304606240682,-0.0008915304606240682
49,2001/11/16,36.2,36.2,33.99,34.09,995470,71500000,0.013922657,0.41,0.41,0.0,0.15666666699999998,0.091666667,63.08724832,32.98,36.2,34.47204969,30.17805925,29.9682232,30.59773134,,33.73199999999999,34.5252,-0.7932000000000059,-1,0.012173396674584502,-0.012173396674584502
50,2001/11/19,34.15,35.08,34.1,35.05,373461,71500000,0.005223231,0.96,0.96,0.0,0.241666667,0.091666667,72.5,32.98,36.2,64.28571429,41.54727761,33.82790801,56.986016799999994,,34.022,34.5152,-0.49320000000000164,-1,0.02816075095335857,-0.02816075095335857
51,2001/11/20,35.2,35.53,34.9,35.38,806908,71500000,0.011285426999999999,0.33,0.33,0.0,0.296666667,0.0,100.0,32.98,36.2,74.53416149,52.54290557,40.06624053,77.49623566,,34.36999999999999,34.5384,-0.16840000000001254,-1,0.009415121255349712,-0.009415121255349712
