,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
0,2001/8/15,4.27,4.3,4.26,4.27,19902688,1540000000,0.012923823000000001,-0.01,0.0,-0.01,0.011666667,0.026666667,30.43478261,4.26,4.3,25.0,25.0,25.0,25.0,,,,,0,,
1,2001/8/16,4.28,4.29,4.24,4.24,23650591,1540000000,0.015357527,-0.03,0.0,-0.03,0.011666667,0.031666667,26.92307692,4.24,4.3,0.0,10.0,16.0,-2.0,,,,,0,-0.007025761124121677,-0.0
2,2001/8/17,4.25,4.34,4.24,4.31,30386864,1540000000,0.01973173,0.07,0.07,0.0,0.023333332999999998,0.016666667,58.33333333,4.24,4.34,70.0,38.42105263,26.62049861,62.02216066,,,,,0,0.01650943396226401,0.0
3,2001/8/20,4.3,4.3,4.25,4.26,10645065,1540000000,0.00691238,-0.05,0.0,-0.05,0.011666667,0.025,31.81818182,4.24,4.34,20.0,30.76923077,28.34381813,35.62005606,,,,,0,-0.011600928074245953,-0.0
4,2001/8/21,4.27,4.28,4.24,4.24,21154866,1540000000,0.013736926000000002,-0.02,0.0,-0.02,0.011666667,0.021666667,35.0,4.24,4.34,0.0,18.95734597,24.74048047,7.391076967,,4.264,,,0,-0.004694835680751019,-0.0
5,2001/8/22,4.24,4.25,4.13,4.14,78141589,1540000000,0.050741292,-0.1,0.0,-0.1,0.011666667,0.035,25.0,4.13,4.34,4.7619047619999995,13.77013963,20.73176946,-0.153120017,,4.238,,,0,-0.02358490566037752,-0.0
6,2001/8/23,4.12,4.13,4.02,4.11,35309410,1540000000,0.022928188,-0.03,0.0,-0.03,0.011666667,0.038333333,23.33333333,4.02,4.34,28.125,18.85255499,20.06642349,16.42481797,,4.212000000000001,,,0,-0.007246376811594013,-0.0
7,2001/8/27,4.05,4.06,3.91,3.96,33867332,1540000000,0.021991774,-0.15,0.0,-0.15,0.011666667,0.058333333,16.66666667,3.91,4.34,11.62790698,16.34655892,18.77612312,11.48743051,,4.142000000000001,,,0,-0.03649635036496357,-0.0
8,2001/8/28,3.93,4.01,3.91,4.0,26103817,1540000000,0.016950531,0.04,0.04,0.0,0.006666666999999999,0.058333333,10.25641026,3.91,4.34,20.93023256,17.91525553,18.48150353,16.78275954,,4.090000000000001,,,0,0.010101010101010166,0.0
9,2001/8/29,4.01,4.03,3.97,3.97,12700568,1540000000,0.008247121999999999,-0.03,0.0,-0.03,0.006666666999999999,0.055,10.81081081,3.91,4.34,13.95348837,16.5713613,17.833553,14.04697789,,4.036,,,0,-0.007499999999999951,-0.0
10,2001/8/30,3.97,4.04,3.94,4.03,14503134,1540000000,0.009417619,0.06,0.06,0.0,0.016666667,0.051666667,24.390243899999998,3.91,4.34,27.90697674,20.39409447,18.69704973,23.78818397,,4.014,,,0,0.015113350125944613,0.0
11,2001/8/31,4.02,4.02,3.99,3.99,5425914,1540000000,0.003523321,-0.04,0.0,-0.04,0.016666667,0.041666667000000004,28.57142857,3.91,4.3,20.51282051,20.43397721,19.28052258,22.74088647,,3.9900000000000007,,,0,-0.00992555831265507,-0.0
12,2001/9/3,3.99,3.99,3.92,3.93,11589799,1540000000,0.007525844,-0.06,0.0,-0.06,0.016666667,0.046666667,26.31578947,3.91,4.28,5.405405405,15.39858024,17.97985869,10.23602335,,3.9840000000000004,,,0,-0.015037593984962405,-0.0
13,2001/9/4,3.93,4.01,3.93,3.98,12026630,1540000000,0.0078095,0.05,0.05,0.0,0.025,0.021666667,53.57142857,3.91,4.25,20.58823529,17.13441133,17.69707423,16.00908553,,3.9800000000000004,,,0,0.012722646310432628,0.0
14,2001/9/5,4.0,4.01,3.96,3.98,8398402,1540000000,0.005453508,0.0,0.0,0.0,0.018333333,0.021666667,45.83333333,3.91,4.13,31.81818182,22.04020465,19.14809801,27.82441792,,3.9820000000000007,,,0,0.0,0.0
15,2001/9/6,3.98,3.98,3.94,3.95,7806661,1540000000,0.00506926,-0.03,0.0,-0.03,0.018333333,0.021666667,45.83333333,3.91,4.06,26.66666667,23.58471007,20.62922362,29.49568297,,3.966,,,0,-0.007537688442211032,-0.0
16,2001/9/7,3.95,3.95,3.85,3.85,24770468,1540000000,0.016084719,-0.1,0.0,-0.1,0.008333333,0.038333333,17.85714286,3.85,4.04,0.0,15.71515277,18.98953578,9.166386727,,3.938000000000001,,,0,-0.025316455696202556,-0.0
