,time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict,5d,25d,s-l,signal,market,strategy
0,2006/7/12,3.74,3.74,3.7,3.7,100725025,3454547000.0,0.029157231000000002,-0.05,0.0,-0.05,0.011666667,0.026666667,30.43478261,3.7,3.74,0.0,0.0,0.0,0.0,,,,,0,,
1,2006/7/13,3.7,3.7,3.59,3.6,258989832,3454547000.0,0.074970707,-0.1,0.0,-0.1,0.011666667,0.043333332999999995,21.21212121,3.59,3.74,6.666666667,4.0,2.4,7.2,,,,,0,-0.027027027027027084,-0.0
2,2006/7/14,3.57,3.63,3.55,3.59,118966331,3454547000.0,0.034437607,-0.01,0.0,-0.01,0.011666667,0.033333333,25.92592593,3.55,3.74,21.05263158,12.07756233,6.984108471,22.26447004,,,,,0,-0.002777777777777879,-0.0
3,2006/7/17,3.58,3.59,3.55,3.58,67495933,3454547000.0,0.019538288,-0.01,0.0,-0.01,0.011666667,0.028333333,29.16666667,3.55,3.74,15.78947368,13.6194332,9.740320281,21.37765903,,,,,0,-0.0027855153203342198,-0.0
4,2006/7/18,3.59,3.59,3.54,3.57,57243142,3454547000.0,0.016570376,-0.01,0.0,-0.01,0.008333333,0.03,21.73913043,3.54,3.74,15.0,14.14941382,11.43291069,19.58242007,,3.6079999999999997,,,0,-0.0027932960893854997,-0.0
5,2006/7/19,3.57,3.57,3.48,3.5,95222836,3454547000.0,0.027564493,-0.07,0.0,-0.07,0.0,0.041666667000000004,0.0,3.48,3.74,7.692307692000001,11.78989985,11.56335936,12.24298083,,3.568,,,0,-0.019607843137254832,-0.0
6,2006/7/20,3.49,3.52,3.49,3.51,53178063,3454547000.0,0.015393643,0.01,0.01,0.0,0.0016666670000000001,0.033333333,4.7619047619999995,3.48,3.74,11.53846154,11.70087677,11.61204814,11.87853403,,3.55,,,0,0.0028571428571428914,0.0
7,2006/7/21,3.51,3.55,3.49,3.51,60634862,3454547000.0,0.017552189,0.0,0.0,0.0,0.0016666670000000001,0.016666667,9.090909091,3.48,3.74,11.53846154,11.64454019,11.62331858,11.68698342,,3.534,,,0,0.0,0.0
8,2006/7/24,3.48,3.49,3.45,3.46,66774440,3454547000.0,0.019329435,-0.05,0.0,-0.05,0.0016666670000000001,0.023333332999999998,6.666666667,3.45,3.74,3.448275862,8.83948619,10.67059184,5.177274892,,3.5099999999999993,,,0,-0.014245014245014231,-0.0
9,2006/7/25,3.46,3.49,3.46,3.47,52818380,3454547000.0,0.015289523999999999,0.01,0.01,0.0,0.003333333,0.021666667,13.33333333,3.45,3.7,8.0,8.554719164,9.95285428,5.758448932,,3.4899999999999993,,,0,0.0028901734104047616,0.0
10,2006/7/26,3.47,3.47,3.43,3.45,74410690,3454547000.0,0.021539927,-0.02,0.0,-0.02,0.003333333,0.023333332999999998,12.5,3.43,3.63,10.0,9.042114227,9.645723517999999,7.8348956460000005,,3.479999999999999,,,0,-0.0057636887608069065,-0.0
11,2006/7/27,3.45,3.54,3.44,3.48,92582190,3454547000.0,0.026800096000000002,0.03,0.03,0.0,0.008333333,0.011666667,41.66666667,3.43,3.59,31.25,16.5022406,11.94898122,25.60875936,,3.4739999999999993,,,0,0.008695652173912993,0.0
12,2006/7/28,3.48,3.48,3.43,3.45,59160128,3454547000.0,0.017125293,-0.03,0.0,-0.03,0.006666666999999999,0.016666667,28.57142857,3.43,3.59,12.5,15.16127018,13.02527445,19.43326165,,3.461999999999999,,,0,-0.008620689655172376,-0.0
13,2006/7/31,3.44,3.45,3.34,3.36,89322402,3454547000.0,0.025856472999999998,-0.09,0.0,-0.09,0.006666666999999999,0.031666667,17.39130435,3.34,3.57,8.695652174,12.99865617,13.01637119,12.96322613,,3.441999999999999,,,0,-0.026086956521739202,-0.0
14,2006/8/1,3.36,3.36,3.3,3.32,88418114,3454547000.0,0.025594706000000002,-0.04,0.0,-0.04,0.006666666999999999,0.03,18.18181818,3.3,3.55,8.0,11.32862366,12.452501,9.080869003,,3.411999999999999,,,0,-0.011904761904761862,-0.0
