time,O,H,L,C,volume,outstanding_share,turnover,diff,up,down,avg_up,avg_down,rsi,lowest,highest,RSV,K,D,J,predict
2002/5/22,27.98,28.2,27.18,27.18,1470341,25000000,0.05881364,-0.77,0,-0.77,0.075,0.201666667,27.10843373,27.18,28.2,0,0,0,0,
2002/5/23,27.3,27.5,26.18,26.27,2045774,25000000,0.08183096,-0.91,0,-0.91,0.075,0.353333333,17.50972763,26.18,28.2,4.455445545,2.673267327,1.603960396,4.811881188,
2002/5/24,26.27,26.46,25.7,25.74,1066701,25000000,0.04266804,-0.53,0,-0.53,0.075,0.405,15.625,25.7,28.2,1.6,2.16487754,1.869657991,2.75531664,
2002/5/27,26,26.3,25.78,26.29,543188,25000000,0.02172752,0.55,0.55,0,0.166666667,0.368333333,31.15264798,25.7,28.2,23.6,11.06869764,5.690797537,21.82449784,
2002/5/28,26.2,26.64,26.09,26.15,434745,25000000,0.0173898,-0.14,0,-0.14,0.153333333,0.391666667,28.13455657,25.7,28.2,18,13.72952935,8.776756195,23.63507566,
2002/5/29,26.1,26.1,25.11,25.16,781324,25000000,0.03125296,-0.99,0,-0.99,0.091666667,0.556666667,14.13881748,25.11,28.2,1.618122977,9.303857548,8.969366163,9.972840318,
2002/5/30,25.3,25.59,25.1,25.47,799714,25000000,0.03198856,0.31,0.31,0,0.143333333,0.428333333,25.0728863,25.1,28.2,11.93548387,10.23559897,9.417682684,11.87143154,
2002/5/31,25.33,25.68,25,25.05,420201,25000000,0.01680804,-0.42,0,-0.42,0.143333333,0.346666667,29.25170068,25,28.2,1.5625,7.227182246,8.65786913,4.365808478,
2002/6/3,25.01,25.01,24.28,24.35,759700,25000000,0.030388,-0.7,0,-0.7,0.143333333,0.375,27.65273312,24.28,28.2,1.785714286,5.364917821,7.530903738,1.032945988,
2002/6/4,24.44,24.6,24.07,24.39,452711,25000000,0.01810844,0.04,0.04,0,0.058333333,0.375,13.46153846,24.07,27.5,9.329446064,6.70974866,7.252354916,5.624536148,
2002/6/5,24.38,24.38,24.03,24.11,365530,25000000,0.0146212,-0.28,0,-0.28,0.058333333,0.398333333,12.77372263,24.03,26.64,3.0651341,5.48066771,6.654885154,3.132232823,
2002/6/6,24.18,25.45,24.02,25.06,809251,25000000,0.03237004,0.95,0.95,0,0.216666667,0.233333333,48.14814815,24.02,26.64,39.69465649,16.97391306,10.12127781,30.67918356,
2002/6/7,25.01,25.4,24.7,25,749046,25000000,0.02996184,-0.06,0,-0.06,0.165,0.243333333,40.40816327,24.02,26.64,37.40458015,23.81930865,14.71087048,42.03618499,
2002/6/10,25,25,24.5,24.57,233790,25000000,0.0093516,-0.43,0,-0.43,0.165,0.245,40.24390244,24.02,26.1,26.44230769,24.69664698,18.05090389,37.98813315,
2002/6/11,24.51,24.85,24.51,24.63,139409,25000000,0.00557636,0.06,0.06,0,0.175,0.128333333,57.69230769,24.02,25.68,36.74698795,28.72262125,21.61628512,42.93529351,
2002/6/12,24.62,24.87,24.19,24.64,201675,25000000,0.008067,0.01,0.01,0,0.17,0.128333333,56.98324022,24.02,25.68,37.34939759,31.60259795,24.95013164,44.90753057,
2002/6/13,24.66,24.72,24.25,24.26,234890,25000000,0.0093956,-0.38,0,-0.38,0.17,0.145,53.96825397,24.02,25.45,16.78321678,26.65778545,25.5199279,28.93350054,
2002/6/14,24.05,24.25,23.6,23.61,411523,25000000,0.01646092,-0.65,0,-0.65,0.011666667,0.253333333,4.402515723,23.6,25.45,0.540540541,17.9461425,22.99362337,7.851180772,
2002/6/17,23.5,23.6,23.18,23.53,308933,25000000,0.01235732,-0.08,0,-0.08,0.011666667,0.256666667,4.347826087,23.18,25.45,15.4185022,17.1032155,21.02926797,9.251110551,
2002/6/19,23.98,23.98,23.7,23.77,482334,25000000,0.01929336,0.24,0.24,0,0.051666667,0.185,21.83098592,23.18,25.45,25.99118943,20.0667647,20.70833703,18.78362003,
