date,open,high,low,close,volume,outstanding_share,turnover
1999-07-27,7.27,7.31,6.63,6.7,107249800.0,247750000.0,0.4328952573158426
1999-07-28,6.7,6.98,6.7,6.85,32242400.0,247750000.0,0.13014086781029263
1999-07-29,7.05,7.06,6.73,6.8,13575900.0,247750000.0,0.05479677093844602
1999-07-30,6.8,6.86,6.71,6.74,7753300.0,247750000.0,0.031294853683148334
1999-08-02,6.74,6.86,6.73,6.77,6593000.0,247750000.0,0.026611503531786075
1999-08-03,6.78,6.8,6.63,6.68,9514900.0,247750000.0,0.038405247225025224
1999-08-04,6.7,6.8,6.66,6.75,8469400.0,247750000.0,0.03418526740665994
1999-08-05,6.77,6.98,6.75,6.89,14603500.0,247750000.0,0.05894450050454087
1999-08-06,6.89,7.07,6.69,6.98,14542700.0,247750000.0,0.05869909182643794
1999-08-09,6.98,7.05,6.86,6.93,10283800.0,247750000.0,0.0415087790110999
1999-08-10,6.9,7.04,6.8,6.82,6168900.0,247750000.0,0.024899697275479315
1999-08-11,6.79,6.82,6.68,6.69,4005600.0,247750000.0,0.016167911200807267
1999-08-12,6.69,6.8,6.68,6.71,2367400.0,247750000.0,0.009555600403632694
1999-08-13,6.75,6.85,6.74,6.78,2820200.0,247750000.0,0.011383249243188698
1999-08-16,6.8,6.82,6.7,6.77,1864600.0,247750000.0,0.007526135216952573
1999-08-17,6.78,6.9,6.75,6.77,3666200.0,247750000.0,0.01479798183652876
1999-08-18,6.78,6.8,6.63,6.76,2824700.0,247750000.0,0.011401412714429869
1999-08-19,6.96,6.96,6.81,6.87,7660700.0,247750000.0,0.03092108980827447
1999-08-20,6.91,6.93,6.75,6.77,5523800.0,247750000.0,0.022295862764883954
1999-08-23,6.76,6.83,6.71,6.77,3280200.0,247750000.0,0.013239959636730575
1999-08-24,6.78,6.89,6.78,6.8,4586400.0,247750000.0,0.01851220988900101
1999-08-25,6.81,6.96,6.78,6.84,7471200.0,247750000.0,0.030156205852674065
1999-08-26,6.84,7.15,6.83,7.05,17541200.0,247750000.0,0.07080201816347124
1999-08-27,7.09,7.1,6.97,6.99,7491900.0,247750000.0,0.03023975782038345
1999-08-30,7.0,7.04,6.95,6.95,4711900.0,247750000.0,0.019018768920282543
1999-08-31,6.97,7.02,6.92,7.0,4594200.0,247750000.0,0.01854369323915237
1999-09-01,7.0,7.0,6.8,6.82,2762400.0,247750000.0,0.011149949545913218
1999-09-02,6.8,6.94,6.78,6.9,3167000.0,247750000.0,0.012783047426841575
1999-09-03,6.9,6.92,6.7,6.74,2259700.0,247750000.0,0.009120887991927347
1999-09-06,6.74,6.84,6.7,6.75,1581200.0,247750000.0,0.006382240161453077
1999-09-07,6.76,6.86,6.71,6.77,1491500.0,247750000.0,0.006020181634712411
1999-09-08,6.8,6.87,6.76,6.79,1402700.0,247750000.0,0.00566175580221998
1999-09-09,6.9,7.12,6.88,7.1,15861100.0,247750000.0,0.06402058526740666
1999-09-10,7.16,7.48,7.08,7.22,24409400.0,247750000.0,0.09852431886982846
1999-09-13,7.27,7.45,7.25,7.3,7229500.0,247750000.0,0.029180625630676086
1999-09-14,7.33,7.38,7.1,7.18,6215600.0,247750000.0,0.02508819374369324
1999-09-15,7.2,7.29,7.16,7.2,4761600.0,247750000.0,0.019219374369323916
