date,open,high,low,close,volume,outstanding_share,turnover
2002/5/15,31,31.6,27.8,27.94,18094659,25000000,0.72378636
2002/5/16,27.5,28.37,27.08,27.72,4128919,25000000,0.16515676
2002/5/17,27.72,28.2,27.11,27.5,2675979,25000000,0.10703916
2002/5/20,27.3,27.8,27.1,27.58,1408514,25000000,0.05634056
2002/5/21,28,28.48,27.56,27.95,2353544,25000000,0.09414176
2002/5/22,27.98,28.2,27.18,27.18,1470341,25000000,0.05881364
2002/5/23,27.3,27.5,26.18,26.27,2045774,25000000,0.08183096
2002/5/24,26.27,26.46,25.7,25.74,1066701,25000000,0.04266804
2002/5/27,26,26.3,25.78,26.29,543188,25000000,0.02172752
2002/5/28,26.2,26.64,26.09,26.15,434745,25000000,0.0173898
2002/5/29,26.1,26.1,25.11,25.16,781324,25000000,0.03125296
2002/5/30,25.3,25.59,25.1,25.47,799714,25000000,0.03198856
2002/5/31,25.33,25.68,25,25.05,420201,25000000,0.01680804
2002/6/3,25.01,25.01,24.28,24.35,759700,25000000,0.030388
2002/6/4,24.44,24.6,24.07,24.39,452711,25000000,0.01810844
2002/6/5,24.38,24.38,24.03,24.11,365530,25000000,0.0146212
2002/6/6,24.18,25.45,24.02,25.06,809251,25000000,0.03237004
2002/6/7,25.01,25.4,24.7,25,749046,25000000,0.02996184
2002/6/10,25,25,24.5,24.57,233790,25000000,0.0093516
2002/6/11,24.51,24.85,24.51,24.63,139409,25000000,0.00557636
2002/6/12,24.62,24.87,24.19,24.64,201675,25000000,0.008067
2002/6/13,24.66,24.72,24.25,24.26,234890,25000000,0.0093956
2002/6/14,24.05,24.25,23.6,23.61,411523,25000000,0.01646092
2002/6/17,23.5,23.6,23.18,23.53,308933,25000000,0.01235732
2002/6/19,23.98,23.98,23.7,23.77,482334,25000000,0.01929336
2002/6/20,23.74,24.1,23.61,24,297370,25000000,0.0118948
2002/6/21,23.96,24.7,23.81,24.64,638848,25000000,0.02555392
2002/6/24,27.1,27.1,26.35,27.1,3853152,25000000,0.15412608
2002/6/25,27.08,27.08,25.9,26.33,1670038,25000000,0.06680152
2002/6/26,26.08,26.78,25.65,26.38,1051968,25000000,0.04207872
2002/6/27,26.29,26.42,25.82,25.99,479594,25000000,0.01918376
2002/6/28,25.95,26.39,25.5,25.68,599481,25000000,0.02397924
2002/7/1,25.8,26.28,25.21,25.61,327328,25000000,0.01309312
2002/7/2,25.61,25.87,25.31,25.79,153416,25000000,0.00613664
2002/7/3,25.76,25.99,25.48,25.58,224950,25000000,0.008998
2002/7/4,25.58,25.7,25.3,25.51,346087,25000000,0.01384348
2002/7/5,25.57,26.5,25.33,25.97,456080,25000000,0.0182432
2002/7/8,25.96,26.17,25.83,25.94,182241,25000000,0.00728964
2002/7/9,26.01,26.18,25.8,25.81,142056,25000000,0.00568224
2002/7/10,25.8,26.05,25.4,25.5,186600,25000000,0.007464
2002/7/11,25.35,25.76,25.35,25.45,144220,25000000,0.0057688
2002/7/12,25.78,25.78,25.47,25.55,109560,25000000,0.0043824
2002/7/15,25.65,25.65,25.3,25.33,182790,25000000,0.0073116
2002/7/16,25.3,25.48,25.1,25.16,174930,25000000,0.0069972
2002/7/17,25.23,25.23,24.68,24.96,290825,25000000,0.011633
2002/7/18,25.10056315,25.10056315,24.7993564,24.96,121276,25000000,0.00485104
2002/7/19,24.94995977,25.10056315,24.7993564,24.99012068,91330,25000000,0.0036532
2002/7/22,24.98008045,24.98008045,24.36762671,24.43790829,188900,25000000,0.007556
2002/7/23,24.39774739,24.57847144,24.29734513,24.47806919,109801,25000000,0.00439204
2002/7/24,24.47806919,24.78931617,24.39774739,24.62867257,108850,25000000,0.004354
2002/7/25,24.97004023,24.97004023,24.50818986,24.7993564,91599,25000000,0.00366396
2002/7/26,24.86963797,25.78329847,24.86963797,25.17084473,316783,25000000,0.01267132
2002/7/29,25.07044248,25.29132743,24.89975865,25.20096541,129182,25000000,0.00516728
2002/7/30,25.17084473,25.25116653,25.0001609,25.10056315,115158,25000000,0.00460632
2002/7/31,25.29132743,25.30136766,24.89975865,24.89975865,335773,25000000,0.01343092
2002/8/1,24.89975865,24.98008045,24.82947707,24.94995977,67367,25000000,0.00269468
2002/8/2,24.89975865,25.33148833,24.89975865,25.25116653,129596,25000000,0.00518384
2002/8/5,25.28128721,25.28128721,25.10056315,25.16080451,81341,25000000,0.00325364
2002/8/6,25.10056315,25.22104586,24.90979887,25.11060338,98827,25000000,0.00395308
2002/8/7,25.10056315,25.15076428,25.10056315,25.1206436,74410,25000000,0.0029764
2002/8/8,25.20096541,25.20096541,25.03028158,25.0403218,86800,25000000,0.003472
2002/8/9,25.02024135,25.03028158,24.10658085,24.31742558,288790,25000000,0.0115516
2002/8/12,24.27726468,24.29734513,24.01621883,24.0865004,138120,25000000,0.0055248
2002/8/13,24.09654063,24.19694288,24.01621883,24.02625905,67624,25000000,0.00270496
2002/8/14,24.09654063,24.19694288,23.98609815,24.1266613,130726,25000000,0.00522904
2002/8/15,24.29734513,24.29734513,23.97605792,24.01621883,287705,25000000,0.0115082
2002/8/16,24.01621883,24.19694288,23.89573612,23.9660177,110959,25000000,0.00443836
2002/8/19,23.80537409,23.845535,23.39372486,23.41380531,326131,25000000,0.01304524
2002/8/20,23.37364441,23.78529364,23.37364441,23.69493162,162291,25000000,0.00649164
2002/8/21,23.69493162,24.35758648,23.69493162,24.19694288,275968,25000000,0.01103872
